,date,num_friends,num_photos,num_reviews,review_id,review_text,username
0,10/23/2017,541,119,82,3YIYZaKbcdsWy5Mlk9I7cg,"For all my Chinese food cravings, I come here, an almost hidden and easy-to-miss joint in a typical strip mall by Colorado Boulevard in Eagle Rock. In general, the flavors of the food move me as they are well-balanced in spice and texture, leaving my palate satiated at first, then wanting more. My favorites are: Kung Pao Chicken, Sechzuan pork or beef, and the Veggie medley, eaten with pints of aromatic, soft white rice. One can dine in, pick-up, or use delivery (they take cards). Service is friendly, fast, and convenient. Not only will I come back, I also highly recommend it!",Christy N.
1,10/8/2017,36,12,42,D8KbqQ-12YbEgYSH7xymrA,"I've never been a huge Chinese food person but I went to dinner here tonight with my family and I must say it was tasty.  We had the veggie pan fried dumplings, fish with sweet sauce, green beans, veggie fried rice and the Kung pao chicken.  The restaurant is very clean and the staff attentive - our food came out hot and quickly. We would go back or take out.",Julia C.
2,10/4/2017,0,0,3,qq_4zZqxDXV1EOSb6nvvFg,"Great people, great food. Highly recommend to anyone who wants Chinese for the night. Wait for food is short and taste is excellent.",John K.
3,10/4/2017,8,1,37,dvIjT9Y1qSvnN7Moc6Ub5g,"I wasn't going to write a bad review because I think it's so rude and unfriendly to do, but after speaking on the phone with one of the employees when I called back to find out if I was overcharged on my bill, I feel I just can't not. He argued and yelled at me over the phone about what customer service is when I tried to explain the him that the business needs to inform customers when they make alterations to a price. Like in a really crazy immature weird way. Kinda shocking to encounter this type of behavior in a business setting. From reading other reviews similar to this it seems there is something really ""off"" with their understanding of how to deal with customers. (I was charged extra for altering a dish $2 more for adding broccoli, which is fine, but tell me first.. then they charged me a $1 when I asked for extra hot sauce.. yes it's petty, but still, come on.. ringing me up without telling me you are charging me more?) Unethical and almost like stealing. It's maddening when a business ignores customer service. Another person on here said he wasn't allowed to sit down and order just a tea and was treated badly by them and I can completely see this happening based on what I experienced. This pissed me off further. Be cool! Be nice. Understand your demographic.. read a book about customer service. ",Julee L.
4,9/25/2017,0,75,38,wgmBTCntK-iY1rBKytgFnw,"Stopped on Saturday afternoon for lunch with a coworker. We had paper wrapped chicken, Mushu shrimp, Kung pau shrimp, rice and hot tea Everyone thought their food was really great. I took the leftovers home, and they were even better the next day. The restaurant was very clean and the service was attentive and friendly.Would definitely return.",Penny K.
5,9/10/2017,1,1,70,LGIwmUHSGDk0WOBsSdA-gA,"Went with my daughter for a late lunch--place was pretty empty. Our server was really friendly and we ordered what he recommended--Fish with black bean and chili, beef on chinese broccoli with a Singaporean brown sauce, and then last minute my daughter added the salt and pepper pork chop. All dishes were fresh and tasty--I especially liked the fish, and who doesn't like deep fried pork with crumbly savory scallion topping? Only note is it's definitely not a Szechwan restaurant and I'm not really sure it's mandarin either.",Kathy T.
6,9/1/2017,253,3,25,QNa0gOUtbNOjmRJxPRmsWw,I love this place!! The beef a broccoli are better than your typical place. A little proxy but their quality is better than most.,Christopher V.
7,8/26/2017,6,0,13,L6vtiOF5w-CXFKCLptsdWA,"A restaurant I've waited for to open and had patronize over the years since it opened. In all fairness for all it's worth, I believe the quality of their food has not maintained it's original flaveor and the servings have shrunk amidst having increased their prices.",Frederic S.
8,8/13/2017,5,20,7,JA4EaF8a9Uk17zs1KatedQ,"There is a big difference from east coast Chinese food and west coast Chinese food. I grew up in New York and nothing beats it but the green dragon in eaglerock comes very close. Joe and Cindy the owners know their business. I love the pork spare ribs, the chow main with crispy noodles and the service is spot on. Give it a try, you won't be sorry!",Jeremy H.
9,8/5/2017,0,0,49,KcZ4LJ8xHnXxPvvG9yM17Q,The sizzling rice soup was delicious!! This family seems to really care about the customers!! They all really hustle and get things out very quickly. I think this is a great place to go with a big group and try everything. I saw the orange chicken pass my table and it looked AMAZING.,K P.
10,7/28/2017,162,75,45,gxlPbq2bmb4UsNhSQ8xStQ,"Went here for the first time today my party and I really enjoyed the food. It was very flavorful and good portion sizes to share. Prices were very reasonable as well. Would I recommend it? Yes. Was the food bomb? Yes. Why not a better rating? Well as Ive learned eating at most Asian restaurants the service Sux. I felt rushed to order our food, they never came back to ask us if we needed any drinks aside from the water & they only refilled our water because I asked them to. The friendliness was just not there but it's not a big surprise for me in Asian restaurants. Food is usually Great but service not so much.",gabriel V.
11,7/15/2017,5,2,3,Ylihs17rxwAdqGNfTepMGA,Our go to place for Chinese food. Every other Chinese food we have is compared to green dragon. ,Jack M.
12,7/12/2017,21,1,7,rNKCSo1e5ymvlH-1n__9Sg,"I love Green Dragon so much! They are my go-to comfort food. My favorites are the sizzling rice soup and the pan fried pork dumplings. Also love their mushu, and the fact that it's a family business. I feel valued as a regular there for years now and hope to be for many years to come.",Amber B.
13,7/6/2017,7,1,3,TO1Q8Tyn5Af3pBIFI8CtNg,Good food and a good service .. my son loves this place.. every time we have a chance we go there for dinner..,Gloria P.
14,7/2/2017,53,8,72,dE9Kt2145OdclhOqp0m1ig,"Food was okay. A little bland, but meat was cooked great and service was very friendly. Not the best chinese and not the worst.",CrystalandPhilip M.
15,6/18/2017,0,0,8,38IVl4_SP87as_Vl79Tedg,"Came in for Father's Day after making reservation for 6 and baby. Wait staff was amazing and attentive. Dishes recommended did not disappoint! Everything was delicious down to the tea at the table. Had sweet glazed shrimp, chicken lol mein, BBQ pork fried rice, beef and broccoli, and orange chicken. Shrimp and orange chicken are the house specials for a reason! Will definitely come back! Thank you!",Brandon R.
16,5/27/2017,0,0,4,d5vKMUaamr7miwXLsrlRWg,"Excellent food, the salt and pepper pork chop is my favorite! Lunch special is very good but you have to eat there just fyi.",Susana R.
17,5/26/2017,0,0,40,eOEeAmv2ZhjYiguLvo05vA,"First visit and a good one! Had a lunch special, Hot and Sour soup among the best I've had. The spicy shredded pork, often too sweet at Americanized Chinese restaurants, was only a little on the sweet side and had a nice flavor. The accompanying egg roll was a tasty surprise. Friendly family service that was attentive but not overbearing. Wish we had something good like this on the West Side.",Ian S.
18,5/25/2017,18,0,4,2-h7O9uaMoFBRQtJgtiEZw,"Chi Dynasty in Los Feliz used to be my jam. Not anymore. Eagle Rock Green Dragon, hands down, is the best Chinese food I've ever had. Their food is fresh, clean, vibrant and full of flavor. Their dishes are authentic yet feel contemporary. It's crazy delicious. I believe it was the Chinese Chicken Salad that put Chin Chin on the map. No need to travel to Beverly Hills for their famous staple; you can get one in Eagle Rock at Green Dragon that's way better, reasonably priced and amply portioned. Even their fried fare feels healthy. My favorite dish is the House Special Lo Mein. My wife loves the Mu Shu Beef. You can't go wrong with anything on the menu. Everything is fantastic, including the friendly staff. They also deliver and, your order arrives promptly, piping hot and in solid packaging.",Cain A.
19,5/22/2017,32,123,84,b8vE9xoC2acDdmHwZYBlnQ,"Usually I turn away from Chinese Restaurants if they serve 'the free egg roll' with the lunch combos because those places tend to be Americanized. Green Dragon is definitely a step above those places. The food is delicious and they use quality ingredients. I live near by and when I'm too lazy to drive to the Asian areas (San Gabriel, Alhambra, Arcadia...) I will come here and it satisfies my cravings.",Jenine Y.
20,5/11/2017,24,0,20,_vg6rYvVYbATGcfUbCfC5Q,I use them for catering and honestly everything they make is absolutely delicious! The sesame shrimp is to die for!!!  Highly highly recommend!!!,JM C.
21,4/27/2017,3,0,9,bQEtEnvjcOVQnDEHtuFE8Q,"I love this family owned Chinese spot. They cater to the local taste-buds(not super authentic) but often times if you ask if they can make something they will happily oblige. The people that run this place could not be nicer, and the food is great.",Than N.
22,4/21/2017,8,0,36,8ZulyHnZcDFHf3h5GK0Qeg,"Very clean, very neat and orderly with outstanding food. This is the best Asian food we have had in a long time! Much better than the high priced Asian restaurant on Brand in Glendale. The staff is very friendly and greets you warmly when you come in. They have a very large menu with a lot of items to choose from. We have been here three times so far and ever time we order something different and have never been disappointed. Highly recommend.",Ted A.
